"folioviv","entidad","gasto_agua_tot","tot_integ"
100295604,"Aguascalientes",345,2
100295606,"Aguascalientes",960,5
100296701,"Aguascalientes",1050,2
100296702,"Aguascalientes",1275,2
100296703,"Aguascalientes",900,3
100296704,"Aguascalientes",768,2
100296705,"Aguascalientes",900,3
100296706,"Aguascalientes",540,7
100298201,"Aguascalientes",667.74,3
100298202,"Aguascalientes",659.03,2
100298203,"Aguascalientes",630,3
100298204,"Aguascalientes",627,4
100298205,"Aguascalientes",783.87,2
100298206,"Aguascalientes",330,2
100309902,"Aguascalientes",312,2
100309904,"Aguascalientes",1200,5
100309905,"Aguascalientes","NA",6
100309906,"Aguascalientes",690,4
100310804,"Aguascalientes",1200,2
100310805,"Aguascalientes",675,1
100310806,"Aguascalientes",1050,3
100317502,"Aguascalientes",1080,4
100317503,"Aguascalientes",929.02,3
100317504,"Aguascalientes",180,3
100317505,"Aguascalientes",1194,1
100317506,"Aguascalientes",1200,2
100318301,"Aguascalientes",480,1
100318302,"Aguascalientes",411,4
100318303,"Aguascalientes",270,2
100318304,"Aguascalientes","NA",2
100318305,"Aguascalientes",720,4
100318306,"Aguascalientes",1050,2
100320401,"Aguascalientes",240,1
100320402,"Aguascalientes",660,1
100320403,"Aguascalientes",603.87,3
100320404,"Aguascalientes",480,3
100320405,"Aguascalientes",330,3
100320406,"Aguascalientes",360,6
100322001,"Aguascalientes",450,3
100322002,"Aguascalientes",630,3
100322004,"Aguascalientes",900,5
100322005,"Aguascalientes",1200,3
100322006,"Aguascalientes","NA",5
100327401,"Aguascalientes",660,4
100327402,"Aguascalientes",240,2
100327403,"Aguascalientes",495,2
100327405,"Aguascalientes",495,7
100327406,"Aguascalientes",1200,10
100329601,"Aguascalientes",360,6
100329602,"Aguascalientes",480,3
100329603,"Aguascalientes",360,2
100329604,"Aguascalientes","NA",6
100329605,"Aguascalientes",1080,4
100329606,"Aguascalientes","NA",3
100331701,"Aguascalientes",1500,1
100331703,"Aguascalientes",6000,5
100331704,"Aguascalientes",252,3
100331706,"Aguascalientes",360,4
100344201,"Aguascalientes",481.92,2
100344202,"Aguascalientes",522.58,2
100344203,"Aguascalientes",725.79,3
100344204,"Aguascalientes",522,5
100344205,"Aguascalientes",481.92,1
100344206,"Aguascalientes",690,2
100347501,"Aguascalientes",480,5
100347502,"Aguascalientes",348,6
100347503,"Aguascalientes",1741.92,3
100347504,"Aguascalientes",750,5
100347505,"Aguascalientes","NA",3
100347506,"Aguascalientes",360,4
100360301,"Aguascalientes",495,2
100360303,"Aguascalientes",522.58,3
100360304,"Aguascalientes",600,2
100360305,"Aguascalientes",14516.12,7
100360306,"Aguascalientes",495,1
100363001,"Aguascalientes",300,1
100363002,"Aguascalientes",720,6
100363003,"Aguascalientes",600,2
100363004,"Aguascalientes",261,1
100363005,"Aguascalientes",1440,5
100363006,"Aguascalientes",1800,8
100374901,"Aguascalientes",660,3
100374902,"Aguascalientes",600,4
100374905,"Aguascalientes",34.5,2
100387901,"Aguascalientes",300,2
100387902,"Aguascalientes",495,7
100391801,"Aguascalientes",600,2
100391802,"Aguascalientes",450,5
100391805,"Aguascalientes",1020,1
100398601,"Aguascalientes",600,4
100398602,"Aguascalientes",1050,7
100398603,"Aguascalientes",495,8
100398604,"Aguascalientes",520,4
100398605,"Aguascalientes",663,2
100398606,"Aguascalientes",450,3
100403701,"Aguascalientes",1500,2
100403702,"Aguascalientes","NA",1
100403705,"Aguascalientes",1500,2
100403706,"Aguascalientes",2034,8
100407801,"Aguascalientes",600,2
100407803,"Aguascalientes",660,2
100407804,"Aguascalientes",900,3
100407805,"Aguascalientes",900,4
100407806,"Aguascalientes",600,1
100414201,"Aguascalientes",300,5
100414202,"Aguascalientes",750,4
100414203,"Aguascalientes",255,3
100414204,"Aguascalientes",540,3
100414205,"Aguascalientes",450,1
100414206,"Aguascalientes",900,2
100443401,"Aguascalientes",1001.61,2
100443402,"Aguascalientes",522.58,3
100443403,"Aguascalientes",750,6
100443404,"Aguascalientes",600,5
100443405,"Aguascalientes",540,3
100446501,"Aguascalientes",540,1
100446503,"Aguascalientes",900,1
100446504,"Aguascalientes",501,6
100446505,"Aguascalientes",780,6
100446506,"Aguascalientes",510,4
100451302,"Aguascalientes",252,2
100451304,"Aguascalientes",495,14
100451305,"Aguascalientes",300,3
100452901,"Aguascalientes",600,5
100452902,"Aguascalientes",978,7
100452903,"Aguascalientes",294,4
100452904,"Aguascalientes",600,2
100452905,"Aguascalientes",480,7
100452906,"Aguascalientes",240,1
100465001,"Aguascalientes",570,5
100465002,"Aguascalientes",480,4
100465003,"Aguascalientes",450,5
100465004,"Aguascalientes",669,8
100465005,"Aguascalientes",300,2
100465006,"Aguascalientes",1200,4
100471602,"Aguascalientes",750,4
100471603,"Aguascalientes",498,5
100471604,"Aguascalientes",498,4
100471605,"Aguascalientes",498,2
100471606,"Aguascalientes",513,2
100474801,"Aguascalientes",510,4
100474802,"Aguascalientes",690,2
100474802,"Aguascalientes",480,4
100474803,"Aguascalientes",300,4
100474804,"Aguascalientes",1500,5
100474805,"Aguascalientes","NA",2
100474806,"Aguascalientes",690,4
100489701,"Aguascalientes",600,7
100489703,"Aguascalientes",600,1
100489704,"Aguascalientes",495,3
100489705,"Aguascalientes",510,5
100489706,"Aguascalientes",600,1
100502402,"Aguascalientes",600,4
100502403,"Aguascalientes",600,2
100502404,"Aguascalientes",1080,6
100502406,"Aguascalientes",1200,4
100504001,"Aguascalientes",1020,3
100504002,"Aguascalientes",900,3
100504003,"Aguascalientes",690,4
100504006,"Aguascalientes",1800,4
100524201,"Aguascalientes",480,5
100524202,"Aguascalientes",420,5
100524203,"Aguascalientes",480,5
100524204,"Aguascalientes","NA",4
100524205,"Aguascalientes",1560,6
100524206,"Aguascalientes",600,6
100530501,"Aguascalientes",450,6
100530502,"Aguascalientes",600,3
100530503,"Aguascalientes",780,2
100530504,"Aguascalientes",2700,4
100530506,"Aguascalientes",249,3
100534301,"Aguascalientes",1038,3
100534303,"Aguascalientes",900,2
100534304,"Aguascalientes",720,2
100534305,"Aguascalientes",1170,6
100534306,"Aguascalientes",900,3
100540901,"Aguascalientes",546,2
100540903,"Aguascalientes",375,5
100540905,"Aguascalientes",291,2
100540906,"Aguascalientes",975,4
100552402,"Aguascalientes",534,8
100552403,"Aguascalientes",480,3
100552404,"Aguascalientes",1080,5
100552405,"Aguascalientes","NA",3
100552406,"Aguascalientes","NA",5
100555001,"Aguascalientes",690,5
100555003,"Aguascalientes",1095,11
100555004,"Aguascalientes",900,6
100555005,"Aguascalientes",300,3
100555006,"Aguascalientes",720,3
100555006,"Aguascalientes",450,5
100568801,"Aguascalientes","NA",3
100568802,"Aguascalientes",582,3
100568803,"Aguascalientes",255,2
100568804,"Aguascalientes",750,4
100568805,"Aguascalientes",540,4
100568806,"Aguascalientes",450,2
100569401,"Aguascalientes",481.93,3
100569402,"Aguascalientes",495,3
100569403,"Aguascalientes",480,4
100569404,"Aguascalientes",495,4
100569405,"Aguascalientes","NA",5
100569406,"Aguascalientes","NA",4
100578002,"Aguascalientes",657,6
100578003,"Aguascalientes",870,5
100578004,"Aguascalientes",1100.8,4
100578005,"Aguascalientes","NA",2
100578006,"Aguascalientes",840,4
100579602,"Aguascalientes","NA",4
100579603,"Aguascalientes",627,6
100579604,"Aguascalientes",600,1
100579605,"Aguascalientes",600,3
100579606,"Aguascalientes",315,1
100590701,"Aguascalientes",660,4
100590702,"Aguascalientes",510,1
100590703,"Aguascalientes",420,5
100590704,"Aguascalientes",630,2
100590705,"Aguascalientes",990,6
100592203,"Aguascalientes",495,3
100592204,"Aguascalientes",870,5
100592205,"Aguascalientes",1140,3
100592206,"Aguascalientes","NA",2
100595601,"Aguascalientes",660,4
100595602,"Aguascalientes",810,6
100595604,"Aguascalientes",4650,5
100595605,"Aguascalientes","NA",4
100595606,"Aguascalientes","NA",4
100613601,"Aguascalientes",660,4
100613602,"Aguascalientes",480,4
100613603,"Aguascalientes",240,2
100613604,"Aguascalientes",327,3
100613605,"Aguascalientes",360,2
100620701,"Aguascalientes","NA",2
100620704,"Aguascalientes",300,3
100620705,"Aguascalientes",414,2
100620706,"Aguascalientes",840,4
100621201,"Aguascalientes",673.54,5
100621202,"Aguascalientes",660,4
100621203,"Aguascalientes",450,5
100621205,"Aguascalientes",660,4
100628501,"Aguascalientes",960,6
100628502,"Aguascalientes",406.44,1
100628503,"Aguascalientes",498,2
100628504,"Aguascalientes",1050,5
100628505,"Aguascalientes",498,6
100628506,"Aguascalientes",735,5
100638301,"Aguascalientes",294,3
100638302,"Aguascalientes",498,3
100638305,"Aguascalientes",492,1
100638306,"Aguascalientes",2070,3
100639901,"Aguascalientes",900,4
100639902,"Aguascalientes",3300,5
100639903,"Aguascalientes",900,5
100639904,"Aguascalientes",315,3
100639905,"Aguascalientes",660,1
100639906,"Aguascalientes",900,2
100644801,"Aguascalientes",900,2
100644802,"Aguascalientes",555,2
100644803,"Aguascalientes",600,2
100644804,"Aguascalientes",1080,5
100644805,"Aguascalientes",600,2
100644806,"Aguascalientes",750,5
100656401,"Aguascalientes","NA",6
100656402,"Aguascalientes",480,3
100656403,"Aguascalientes",960,6
100656404,"Aguascalientes",603.86,1
100656405,"Aguascalientes",2100,7
100656405,"Aguascalientes","NA",5
100656406,"Aguascalientes",1800,3
100662501,"Aguascalientes",3000,7
100662504,"Aguascalientes",1500,2
100662505,"Aguascalientes",1050,3
100662506,"Aguascalientes",150,3
100674301,"Aguascalientes",2264.51,5
100674302,"Aguascalientes",120,3
100674304,"Aguascalientes",1158,4
100674305,"Aguascalientes",1350,2
100674306,"Aguascalientes","NA",2
100699001,"Aguascalientes",600,5
100699002,"Aguascalientes",336,1
100699003,"Aguascalientes",900,2
100699004,"Aguascalientes",1200,2
100699005,"Aguascalientes",960,7
100703601,"Aguascalientes",720,5
100703602,"Aguascalientes",900,6
100703604,"Aguascalientes",540,2
100703606,"Aguascalientes",660,5
100725701,"Aguascalientes",90,1
100725703,"Aguascalientes",414,3
100725704,"Aguascalientes",654,3
100725705,"Aguascalientes",654,4
100732701,"Aguascalientes",3600,12
100732702,"Aguascalientes",720,2
100732704,"Aguascalientes",900,3
100732705,"Aguascalientes",360,2
100732706,"Aguascalientes",660,3
100733201,"Aguascalientes",2220,7
100733202,"Aguascalientes",414,3
100733203,"Aguascalientes",249,1
100733204,"Aguascalientes",960,5
100733205,"Aguascalientes",513,2
100733206,"Aguascalientes",1500,3
100736201,"Aguascalientes",900,5
100736202,"Aguascalientes",300,5
100736203,"Aguascalientes",405,3
100736204,"Aguascalientes",480,6
100736205,"Aguascalientes",570,1
100736206,"Aguascalientes",495,4
100737501,"Aguascalientes",754.83,2
100737502,"Aguascalientes",594,4
100737503,"Aguascalientes",489,5
100737504,"Aguascalientes",600,5
100737505,"Aguascalientes",504,1
100737506,"Aguascalientes",480,1
100743301,"Aguascalientes",360,2
100743302,"Aguascalientes",126,2
100743303,"Aguascalientes",795,4
100743304,"Aguascalientes",360,4
100743305,"Aguascalientes",2700,10
100746901,"Aguascalientes",900,4
100746902,"Aguascalientes",300,3
100746903,"Aguascalientes",540,4
100746904,"Aguascalientes",540,6
100746906,"Aguascalientes",480,3
100763801,"Aguascalientes",360,3
100763801,"Aguascalientes",360,3
100763803,"Aguascalientes",510,6
100763804,"Aguascalientes",5400,3
100763805,"Aguascalientes",414,2
100763806,"Aguascalientes",900,3
100769401,"Aguascalientes",594,5
100769401,"Aguascalientes","NA",1
100769402,"Aguascalientes",1050,2
100769403,"Aguascalientes",371.6,4
100769404,"Aguascalientes",582,2
100769405,"Aguascalientes",522,9
100769406,"Aguascalientes",501,3
100774501,"Aguascalientes",300,2
100774503,"Aguascalientes",600,6
100774504,"Aguascalientes",900,4
100774505,"Aguascalientes","NA",6
100813301,"Aguascalientes",252,1
100813302,"Aguascalientes",504,1
100813303,"Aguascalientes",900,7
100813304,"Aguascalientes",600,6
100813305,"Aguascalientes",537,4
100818901,"Aguascalientes","NA",6
100818902,"Aguascalientes",968.7,4
100818903,"Aguascalientes",600,4
100818904,"Aguascalientes",2310,4
100818905,"Aguascalientes",907.34,1
100818906,"Aguascalientes",1144.82,4
100828801,"Aguascalientes",501,1
100828802,"Aguascalientes",408,2
100828803,"Aguascalientes",540,6
100828805,"Aguascalientes",1080,3
100828806,"Aguascalientes",570,4
100832401,"Aguascalientes",675,3
100832402,"Aguascalientes",390,2
100832403,"Aguascalientes",900,3
100832404,"Aguascalientes",495,4
100832405,"Aguascalientes",381,1
100832406,"Aguascalientes",420,3
100836001,"Aguascalientes",900,6
100836002,"Aguascalientes",450,3
100836003,"Aguascalientes",564,6
100836004,"Aguascalientes",540,3
100836005,"Aguascalientes",600,4
100844601,"Aguascalientes",1500,4
100844603,"Aguascalientes",495,4
100844604,"Aguascalientes",408,3
100844605,"Aguascalientes",840,4
100844606,"Aguascalientes",657,5
100851701,"Aguascalientes",495,2
100851702,"Aguascalientes",486,3
100851704,"Aguascalientes",3000,2
100851705,"Aguascalientes",480,1
100854201,"Aguascalientes",1122,5
100854202,"Aguascalientes",540,5
100854204,"Aguascalientes","NA",5
100854205,"Aguascalientes",750,4
100854206,"Aguascalientes",480,1
100857501,"Aguascalientes",990,2
100857503,"Aguascalientes",600,3
100857505,"Aguascalientes",249,2
100857506,"Aguascalientes",660,4
100860301,"Aguascalientes","NA",3
100860302,"Aguascalientes",498,1
100860303,"Aguascalientes",984,4
100860305,"Aguascalientes",600,4
100860306,"Aguascalientes",600,1
100862901,"Aguascalientes",273,4
100862902,"Aguascalientes",756,3
100862903,"Aguascalientes",900,4
100862904,"Aguascalientes",1080,3
100862905,"Aguascalientes",675,4
100862906,"Aguascalientes",294,4
100874002,"Aguascalientes",731.6,2
100874003,"Aguascalientes",510,3
100874005,"Aguascalientes",750,12
100874006,"Aguascalientes",1050,5
100874006,"Aguascalientes",600,2
100886601,"Aguascalientes",540,5
100886602,"Aguascalientes",660,6
100886603,"Aguascalientes",900,3
100886605,"Aguascalientes",540,3
100890902,"Aguascalientes",2400,5
100890903,"Aguascalientes",1800,3
100890905,"Aguascalientes",2100,5
100906802,"Aguascalientes",1707,3
100906803,"Aguascalientes",1200,3
100906804,"Aguascalientes",1146,1
100906805,"Aguascalientes",1200,5
100915401,"Aguascalientes",900,5
100915402,"Aguascalientes",630,4
100915404,"Aguascalientes",480,5
100915405,"Aguascalientes",609.67,2
100915406,"Aguascalientes","NA",1
100915406,"Aguascalientes","NA",2
100957802,"Aguascalientes",390,3
100957803,"Aguascalientes",540,5
100957804,"Aguascalientes",150,3
100957805,"Aguascalientes",600,4
100957806,"Aguascalientes",540,3
100961702,"Aguascalientes",375,5
100961703,"Aguascalientes",492,3
100961704,"Aguascalientes","NA",2
100961705,"Aguascalientes",900,4
100961706,"Aguascalientes",513,4
100983002,"Aguascalientes","NA",5
100983004,"Aguascalientes",300,5
100983005,"Aguascalientes",825,2
100984601,"Aguascalientes",480,3
100984602,"Aguascalientes",450,2
100984603,"Aguascalientes",450,2
100984604,"Aguascalientes",450,5
100984605,"Aguascalientes",510,3
100984606,"Aguascalientes",450,4
100990401,"Aguascalientes",600,2
100990402,"Aguascalientes",840,1
100990404,"Aguascalientes",600,4
100990406,"Aguascalientes",720,1
100999001,"Aguascalientes",600,4
100999002,"Aguascalientes",546,4
100999003,"Aguascalientes",552,1
100999006,"Aguascalientes",540,2
101007601,"Aguascalientes",1500,5
101007602,"Aguascalientes",390,4
101007603,"Aguascalientes",600,4
101007604,"Aguascalientes",600,1
101007605,"Aguascalientes",480,2
101007606,"Aguascalientes",1080,6
101013701,"Aguascalientes",480,2
101013702,"Aguascalientes",2061,5
101013703,"Aguascalientes",1500,3
101013704,"Aguascalientes",960,5
101013705,"Aguascalientes",375,6
101014202,"Aguascalientes",480,5
